x(m),y(m)
1.231875,-0.4933875
1.240625,-0.4933875
1.249375,-0.4933875
1.258125,-0.4933875
1.266875,-0.4933875
1.275625,-0.4933875
1.284375,-0.4933875
1.293125,-0.4933875
1.231875,-0.48446249999999996
1.240625,-0.48446249999999996
1.249375,-0.48446249999999996
1.258125,-0.48446249999999996
1.266875,-0.48446249999999996
1.275625,-0.48446249999999996
1.284375,-0.48446249999999996
1.293125,-0.48446249999999996
1.231875,-0.4755375
1.240625,-0.4755375
1.249375,-0.4755375
1.258125,-0.4755375
1.266875,-0.4755375
1.275625,-0.4755375
1.284375,-0.4755375
1.293125,-0.4755375
1.231875,-0.4666125
1.240625,-0.4666125
1.249375,-0.4666125
1.258125,-0.4666125
1.266875,-0.4666125
1.275625,-0.4666125
1.284375,-0.4666125
1.293125,-0.4666125
