x0(m),y0(m),x1(m),y1(m)
# vessel, tf
0.427,0.0,0.427,0.35364999999999996
0.427,0.35364999999999996,0.5266000000000001,0.475
0.5266000000000001,0.475,0.8408,0.475
0.8408,0.475,1.0157,0.2507
1.0157,0.2507,1.0157,0.0
0.442,0.0,0.442,0.35616351500000004
0.442,0.35616351500000004,0.531329328,0.465
0.531329328,0.465,0.835916802,0.465
0.835916802,0.465,1.0057,0.247262028
1.0057,0.247262028,1.0057,0.0
0.29174,0.0,0.29174,0.450871703
0.3995,0.0,0.3995,0.450871703
0.3,0.512864022,0.344608596,0.6
0.344608596,0.6,0.4,0.649726041
0.4,0.649726041,0.5,0.6904131720000001
0.5,0.6904131720000001,0.6,0.7063949119999999
0.6,0.7063949119999999,0.7,0.702350578
0.7,0.702350578,0.8,0.677771604
0.8,0.677771604,0.9,0.629141913
0.9,0.629141913,1.001890976,0.54443679
1.001890976,0.54443679,1.1,0.41380551000000004
1.1,0.41380551000000004,1.156776848,0.3
1.156776848,0.3,1.189662089,0.2
1.189662089,0.2,1.208741164,0.1
1.208741164,0.1,1.215,0.0
0.3,0.512864022,0.29174,0.450871703
0.4,0.462218509,0.409221291,0.5
0.5,0.577913409,0.6,0.598635492
0.6,0.598635492,0.7,0.593715917
0.7,0.593715917,0.8,0.562111675
0.8,0.562111675,0.9,0.49538374399999996
0.9,0.49538374399999996,1.0,0.371349108
1.0,0.371349108,1.039473591,0.3
1.039473591,0.3,1.078183554,0.2
1.078183554,0.2,1.1003639209999998,0.1
1.1003639209999998,0.1,1.1076,0.0
0.409221291,0.5,0.448660784,0.5521964269999999
0.448660784,0.5521964269999999,0.5,0.577913409
0.3995,0.450871703,0.4,0.462218509
0.427,-0.0,0.427,-0.35364999999999996
0.427,-0.35364999999999996,0.5266000000000001,-0.475
0.5266000000000001,-0.475,0.8408,-0.475
0.8408,-0.475,1.0157,-0.2507
1.0157,-0.2507,1.0157,-0.0
0.442,-0.0,0.442,-0.35616351500000004
0.442,-0.35616351500000004,0.531329328,-0.465
0.531329328,-0.465,0.835916802,-0.465
0.835916802,-0.465,1.0057,-0.247262028
1.0057,-0.247262028,1.0057,-0.0
0.29174,-0.0,0.29174,-0.450871703
0.3995,-0.0,0.3995,-0.450871703
0.3,-0.512864022,0.344608596,-0.6
0.344608596,-0.6,0.4,-0.649726041
0.4,-0.649726041,0.5,-0.6904131720000001
0.5,-0.6904131720000001,0.6,-0.7063949119999999
0.6,-0.7063949119999999,0.7,-0.702350578
0.7,-0.702350578,0.8,-0.677771604
0.8,-0.677771604,0.9,-0.629141913
0.9,-0.629141913,1.001890976,-0.54443679
1.001890976,-0.54443679,1.1,-0.41380551000000004
1.1,-0.41380551000000004,1.156776848,-0.3
1.156776848,-0.3,1.189662089,-0.2
1.189662089,-0.2,1.208741164,-0.1
1.208741164,-0.1,1.215,-0.0
0.3,-0.512864022,0.29174,-0.450871703
0.4,-0.462218509,0.409221291,-0.5
0.5,-0.577913409,0.6,-0.598635492
0.6,-0.598635492,0.7,-0.593715917
0.7,-0.593715917,0.8,-0.562111675
0.8,-0.562111675,0.9,-0.49538374399999996
0.9,-0.49538374399999996,1.0,-0.371349108
1.0,-0.371349108,1.039473591,-0.3
1.039473591,-0.3,1.078183554,-0.2
1.078183554,-0.2,1.1003639209999998,-0.1
1.1003639209999998,-0.1,1.1076,-0.0
0.409221291,-0.5,0.448660784,-0.5521964269999999
0.448660784,-0.5521964269999999,0.5,-0.577913409
0.3995,-0.450871703,0.4,-0.462218509
# QU
0.36495,0.72825,0.43505,0.72825
0.36495,0.72825,0.43505,0.87175
0.36495,0.72825,0.36495,0.87175
0.43505,0.72825,0.36495,0.87175
0.43505,0.87175,0.36495,0.87175
0.43505,0.87175,0.43505,0.72825
# QD
0.36495,-0.87175,0.43505,-0.87175
0.36495,-0.87175,0.43505,-0.72825
0.36495,-0.87175,0.36495,-0.72825
0.43505,-0.87175,0.36495,-0.72825
