x(m),y(m)
1.2227,0.9984
1.2227,1.0238
1.2227,1.0492
1.2227,1.0746
1.2227,1.1
1.2227,1.1254
1.2227,1.1508
1.2227,1.1762
1.2227,1.2016
1.2481,0.9984
1.2481,1.0238
1.2481,1.0492
1.2481,1.0746
1.2481,1.1
1.2481,1.1254
1.2481,1.1508
1.2481,1.1762
1.2481,1.2016
1.2735,0.9984
1.2735,1.0238
1.2735,1.0492
1.2735,1.0746
1.2735,1.1
1.2735,1.1254
1.2735,1.1508
1.2735,1.1762
1.2735,1.2016
1.2989,0.9984
1.2989,1.0238
1.2989,1.0492
1.2989,1.0746
1.2989,1.1
1.2989,1.1254
1.2989,1.1508
1.2989,1.1762
1.2989,1.2016
1.3243,0.9984
1.3243,1.0238
1.3243,1.0492
1.3243,1.0746
1.3243,1.1
1.3243,1.1254
1.3243,1.1508
1.3243,1.1762
1.3243,1.2016
1.3497,0.9984
1.3497,1.0238
1.3497,1.0492
1.3497,1.0746
1.3497,1.1
1.3497,1.1254
1.3497,1.1508
1.3497,1.1762
1.3497,1.2016
1.3751,0.9984
1.3751,1.0238
1.3751,1.0492
1.3751,1.0746
1.3751,1.1
1.3751,1.1254
1.3751,1.1508
1.3751,1.1762
1.3751,1.2016
1.4005,0.9984
1.4005,1.0238
1.4005,1.0492
1.4005,1.0746
1.4005,1.1
1.4005,1.1254
1.4005,1.1508
1.4005,1.1762
1.4005,1.2016
