x(m),y(m)
0.1542,-0.3795
0.1542,-0.3575
0.1542,-0.3355
0.1542,-0.3135
0.1542,-0.2915
0.1542,-0.2695
0.1542,-0.2475
0.1542,-0.2255
0.1542,-0.2035
0.1542,-0.1815
0.1542,-0.1595
0.1542,-0.1375
0.1542,-0.1155
0.1542,-0.0935
0.1542,-0.0715
0.1542,-0.0495
0.1542,-0.0275
0.1542,-0.0055
0.1542,0.0165
0.1542,0.0385
0.1542,0.0605
0.1542,0.0825
0.1542,0.1045
0.1542,0.1265
0.1542,0.1485
0.1542,0.1705
0.1542,0.1925
0.1542,0.2145
0.1542,0.2365
0.1542,0.2585
0.1542,0.2805
0.1542,0.3025
0.1542,0.3245
0.1542,0.3465
0.1542,0.3685
0.1542,0.3905
0.1722,-0.3795
0.1722,-0.3575
0.1722,-0.3355
0.1722,-0.3135
0.1722,-0.2915
0.1722,-0.2695
0.1722,-0.2475
0.1722,-0.2255
0.1722,-0.2035
0.1722,-0.1815
0.1722,-0.1595
0.1722,-0.1375
0.1722,-0.1155
0.1722,-0.0935
0.1722,-0.0715
0.1722,-0.0495
0.1722,-0.0275
0.1722,-0.0055
0.1722,0.0165
0.1722,0.0385
0.1722,0.0605
0.1722,0.0825
0.1722,0.1045
0.1722,0.1265
0.1722,0.1485
0.1722,0.1705
0.1722,0.1925
0.1722,0.2145
0.1722,0.2365
0.1722,0.2585
0.1722,0.2805
0.1722,0.3025
0.1722,0.3245
0.1722,0.3465
0.1722,0.3685
0.1722,0.3905
