x(m),y(m)
0.15145,-1.02875
0.15145,-1.01225
0.15145,-0.99575
0.15145,-0.97925
0.15145,-0.96275
0.15145,-0.94625
0.15145,-0.92975
0.15145,-0.91325
0.15145,-0.89675
0.15145,-0.88025
0.15145,-0.86375
0.15145,-0.84725
0.15145,-0.83075
0.15145,-0.81425
0.15145,-0.79775
0.15145,-0.78125
0.15145,-0.76475
0.15145,-0.74825
0.15145,-0.73175
0.15145,-0.71525
0.15145,-0.69875
0.15145,-0.68225
0.15145,-0.66575
0.15145,-0.64925
0.15145,-0.63275
0.15145,-0.61625
0.15145,-0.59975
0.15145,-0.58325
0.15145,-0.56675
0.15145,-0.55025
0.15145,-0.53375
0.15145,-0.51725
0.15145,-0.50075
0.15145,-0.48425
0.15145,-0.46775
0.15145,-0.45125
0.16335,-1.02875
0.16335,-1.01225
0.16335,-0.99575
0.16335,-0.97925
0.16335,-0.96275
0.16335,-0.94625
0.16335,-0.92975
0.16335,-0.91325
0.16335,-0.89675
0.16335,-0.88025
0.16335,-0.86375
0.16335,-0.84725
0.16335,-0.83075
0.16335,-0.81425
0.16335,-0.79775
0.16335,-0.78125
0.16335,-0.76475
0.16335,-0.74825
0.16335,-0.73175
0.16335,-0.71525
0.16335,-0.69875
0.16335,-0.68225
0.16335,-0.66575
0.16335,-0.64925
0.16335,-0.63275
0.16335,-0.61625
0.16335,-0.59975
0.16335,-0.58325
0.16335,-0.56675
0.16335,-0.55025
0.16335,-0.53375
0.16335,-0.51725
0.16335,-0.50075
0.16335,-0.48425
0.16335,-0.46775
0.16335,-0.45125
