x(m),y(m)
0.213,-1.517
0.243,-1.517
0.273,-1.517
0.303,-1.517
0.333,-1.517
0.213,-1.547
0.243,-1.547
0.273,-1.547
0.303,-1.547
0.333,-1.547
0.213,-1.577
0.243,-1.577
0.273,-1.577
0.303,-1.577
0.333,-1.577
0.213,-1.607
0.243,-1.607
0.273,-1.607
0.303,-1.607
0.333,-1.607
0.213,-1.637
0.243,-1.637
0.273,-1.637
0.303,-1.637
0.333,-1.637
0.213,-1.667
0.243,-1.667
0.273,-1.667
0.303,-1.667
0.333,-1.667
0.213,-1.697
0.243,-1.697
0.273,-1.697
0.303,-1.697
0.333,-1.697
0.213,-1.727
0.243,-1.727
0.273,-1.727
0.303,-1.727
0.333,-1.727
